Daily_Calories,Protein_g,Carbs_g,Fat_g,Fiber_g,Sugar_g,Vitamin_A_mcg,Vitamin_C_mg,Vitamin_D_mcg,Calcium_mg,Iron_mg,Potassium_mg,Magnesium_mg,Zinc_mg
2488,187,280,69,42,56,900,90,15,1200,27,3500,400,11
1546,116,174,43,26,35,900,90,15,1200,27,3500,400,11
2005,150,226,56,34,45,900,90,15,1200,27,3500,400,11
2082,156,234,58,35,47,900,90,15,1000,18,3500,400,11
3226,242,363,90,54,73,900,90,15,1200,27,3500,400,11
2108,158,237,59,36,47,900,90,15,1200,27,3500,400,11
3358,252,294,131,44,59,900,90,15,1200,27,3500,400,11
3103,233,349,86,52,70,900,90,15,1200,27,3500,400,11
3190,239,359,89,54,72,900,90,15,1000,18,3500,400,11
2354,177,265,65,40,53,900,90,15,1200,27,3500,400,11
3222,242,362,89,54,72,900,90,15,1000,18,3500,400,11
2258,169,254,63,38,51,900,90,15,1200,27,3500,400,11
3959,297,346,154,52,69,900,90,15,1000,18,3500,400,11
3468,260,390,96,58,78,900,90,15,1200,27,3500,400,11
2277,171,256,63,38,51,900,90,15,1200,40.5,3500,400,11
2323,174,261,65,39,52,900,90,15,1000,18,3500,400,11
2706,203,304,75,46,61,900,90,15,1000,18,3500,400,11
2419,181,272,67,41,54,900,90,15,1200,27,3500,400,11
3199,240,360,89,54,72,900,90,15,1200,27,3500,400,11
2207,166,248,61,37,50,900,90,15,1200,27,3500,400,11
1987,149,224,55,34,45,900,90,15,1000,18,3500,400,11
4385,329,493,122,74,99,900,90,15,1000,18,3500,400,11
2876,216,324,80,49,65,900,90,15,1000,18,3500,400,11
2016,151,227,56,34,45,900,90,15,1200,27,3500,400,11
2966,222,334,82,50,67,900,90,15,1000,18,3500,400,11
2907,218,327,81,49,65,900,90,15,1000,18,3500,400,11
1838,138,207,51,31,41,900,90,15,1200,27,3500,400,11
4111,308,462,114,69,92,900,90,15,1200,27,3500,400,11
3316,249,373,92,56,75,900,90,15,1000,27,3500,400,11
1016,76,114,28,17,23,900,90,15,1200,27,3500,400,11
3464,260,390,96,58,78,900,90,15,1000,18,3500,400,11
1984,149,223,55,33,45,900,90,15,1200,27,3500,400,11
2052,154,231,57,35,46,900,90,15,1000,27,3500,400,11
1846,138,208,51,31,42,900,90,15,1200,27,3500,400,11
3062,230,344,85,52,69,900,90,15,1200,27,3500,400,11
2447,184,214,95,32,43,900,90,15,1200,27,3500,400,11
3098,232,349,86,52,70,900,90,15,1000,18,3500,400,11
1867,140,210,52,32,42,900,90,15,1200,40.5,3500,400,11
2336,175,263,65,39,53,900,90,15,1200,27,3500,400,11
1965,147,221,55,33,44,900,90,15,1200,27,3500,400,11
1800,135,157,70,24,31,900,90,15,1000,18,3500,400,11
1916,144,216,53,32,43,900,90,15,1200,27,3500,400,11
2685,201,302,75,45,60,900,90,15,1000,18,3500,400,11
3101,233,349,86,52,70,900,90,15,1000,18,3500,400,11
3176,238,357,88,54,71,900,90,15,1000,18,3500,400,11
2853,214,321,79,48,64,900,90,15,1200,27,3500,400,11
2208,166,248,61,37,50,900,90,15,1200,27,3500,400,11
2437,183,274,68,41,55,900,90,15,1000,18,3500,400,11
1973,148,222,55,33,44,900,90,15,1200,40.5,3500,400,11
2053,154,180,80,27,36,900,90,15,1200,27,3500,400,11
1908,143,167,74,25,33,900,90,15,1200,27,3500,400,11
2892,217,325,80,49,65,900,90,15,1000,18,3500,400,11
4303,323,484,120,73,97,900,90,15,1000,18,3500,400,11
1911,143,215,53,32,43,900,90,15,1000,18,3500,400,11
1805,135,203,50,30,41,900,90,15,1000,27,3500,400,11
2647,199,298,74,45,60,900,90,15,1000,18,3500,400,11
2879,216,324,80,49,65,900,90,15,1000,18,3500,400,11
3591,269,404,100,61,81,900,90,15,1000,18,3500,400,11
2176,163,190,85,28,38,900,90,15,1200,27,3500,400,11
2195,165,247,61,37,49,900,90,15,1200,27,3500,400,11
1850,139,208,51,31,42,900,90,15,1200,27,3500,400,11
3334,250,375,93,56,75,900,90,15,1200,27,3500,400,11
2779,208,313,77,47,63,900,90,15,1200,40.5,3500,400,11
2875,216,323,80,48,65,900,90,15,1200,27,3500,400,11
3679,276,414,102,62,83,900,90,15,1000,18,3500,400,11
1523,114,171,42,26,34,900,90,15,1200,27,3500,400,11
2867,215,323,80,48,65,900,90,15,1000,18,3500,400,11
2411,181,271,67,41,54,900,90,15,1200,27,3500,400,11
3556,267,311,138,47,62,900,90,15,1000,18,3500,400,11
3983,299,448,111,67,90,900,90,15,1000,18,3500,400,11
2308,173,260,64,39,52,900,90,15,1200,27,3500,400,11
1097,82,123,30,18,25,900,90,15,1200,27,3500,400,11
2190,164,246,61,37,49,900,90,15,1200,27,3500,400,11
3852,289,433,107,65,87,900,90,15,1200,27,3500,400,11
3233,242,364,90,55,73,900,90,15,1200,27,3500,400,11
2382,179,268,66,40,54,900,90,15,1000,18,3500,400,11
3077,231,346,85,52,69,900,90,15,1200,27,3500,400,11
2789,209,314,77,47,63,900,90,15,1000,18,3500,400,11
2891,217,325,80,49,65,900,90,15,1000,18,3500,400,11
3261,245,367,91,55,73,900,90,15,1000,18,3500,400,11
2396,180,210,93,32,42,900,90,15,1200,27,3500,400,11
3698,277,416,103,62,83,900,90,15,1000,18,3500,400,11
2750,206,241,107,36,48,900,90,15,1000,18,3500,400,11
1889,142,213,52,32,43,900,90,15,1200,27,3500,400,11
3210,241,361,89,54,72,900,90,15,1000,27,3500,400,11
2754,207,310,77,46,62,900,90,15,1000,18,3500,400,11
3363,252,378,93,57,76,900,90,15,1200,40.5,3500,400,11
3155,237,355,88,53,71,900,90,15,1000,27,3500,400,11
1733,130,195,48,29,39,900,90,15,1200,27,3500,400,11
2933,220,330,81,50,66,900,90,15,1200,40.5,3500,400,11
2711,203,305,75,46,61,900,90,15,1000,18,3500,400,11
1909,143,215,53,32,43,900,90,15,1200,27,3500,400,11
1287,97,145,36,22,29,900,90,15,1200,27,3500,400,11
2689,202,302,75,45,60,900,90,15,1000,18,3500,400,11
3141,236,353,87,53,71,900,90,15,1200,27,3500,400,11
3145,236,354,87,53,71,900,90,15,1200,40.5,3500,400,11
2737,205,308,76,46,62,900,90,15,1000,18,3500,400,11
3134,235,353,87,53,71,900,90,15,1000,18,3500,400,11
2170,163,244,60,37,49,900,90,15,1000,18,3500,400,11
3632,272,409,101,61,82,900,90,15,1200,40.5,3500,400,11
2603,195,293,72,44,59,900,90,15,1000,18,3500,400,11
2365,177,266,66,40,53,900,90,15,1000,18,3500,400,11
2629,197,296,73,44,59,900,90,15,1200,27,3500,400,11
3001,225,338,83,51,68,900,90,15,1200,27,3500,400,11
3966,297,446,110,67,89,900,90,15,1200,40.5,3500,400,11
2217,166,249,62,37,50,900,90,15,1000,18,3500,400,11
2787,209,314,77,47,63,900,90,15,1000,18,3500,400,11
1392,104,157,39,24,31,900,90,15,1000,18,3500,400,11
2124,159,239,59,36,48,900,90,15,1200,27,3500,400,11
2507,188,282,70,42,56,900,90,15,1000,18,3500,400,11
2794,210,314,78,47,63,900,90,15,1000,18,3500,400,11
2652,199,232,103,35,46,900,90,15,1200,27,3500,400,11
3145,236,275,122,41,55,900,90,15,1000,18,3500,400,11
1966,147,221,55,33,44,900,90,15,1200,27,3500,400,11
3004,225,338,83,51,68,900,90,15,1200,27,3500,400,11
3693,277,415,103,62,83,900,90,15,1000,18,3500,400,11
2103,158,184,82,28,37,900,90,15,1200,27,3500,400,11
3925,294,442,109,66,88,900,90,15,1200,27,3500,400,11
3194,240,359,89,54,72,900,90,15,1000,18,3500,400,11
3431,257,386,95,58,77,900,90,15,1200,27,3500,400,11
1798,135,202,50,30,40,900,90,15,1200,27,3500,400,11
3109,233,350,86,52,70,900,90,15,1000,18,3500,400,11
3132,235,352,87,53,70,900,90,15,1000,18,3500,400,11
3010,226,339,84,51,68,900,90,15,1000,18,3500,400,11
3323,249,374,92,56,75,900,90,15,1200,27,3500,400,11
2322,174,261,65,39,52,900,90,15,1000,18,3500,400,11
1585,119,178,44,27,36,900,90,15,1200,27,3500,400,11
2523,189,284,70,43,57,900,90,15,1200,27,3500,400,11
2542,191,286,71,43,57,900,90,15,1000,18,3500,400,11
2666,200,300,74,45,60,900,90,15,1000,18,3500,400,11
1767,133,199,49,30,40,900,90,15,1200,27,3500,400,11
2815,211,317,78,48,63,900,90,15,1200,40.5,3500,400,11
2122,159,239,59,36,48,900,90,15,1200,27,3500,400,11
2398,180,270,67,40,54,900,90,15,1000,18,3500,400,11
2537,190,285,70,43,57,900,90,15,1200,27,3500,400,11
3072,230,346,85,52,69,900,90,15,1200,27,3500,400,11
3640,273,409,101,61,82,900,90,15,1000,18,3500,400,11
2618,196,295,73,44,59,900,90,15,1200,27,3500,400,11
2613,196,294,73,44,59,900,90,15,1200,27,3500,400,11
2463,185,277,68,42,55,900,90,15,1000,18,3500,400,11
3820,287,430,106,64,86,900,90,15,1000,18,3500,400,11
2422,182,272,67,41,54,900,90,15,1000,18,3500,400,11
2852,214,321,79,48,64,900,90,15,1200,27,3500,400,11
2037,153,229,57,34,46,900,90,15,1000,18,3500,400,11
3575,268,402,99,60,80,900,90,15,1200,27,3500,400,11
1689,127,190,47,28,38,900,90,15,1000,18,3500,400,11
1906,143,214,53,32,43,900,90,15,1200,27,3500,400,11
3074,231,269,120,40,54,900,90,15,1000,18,3500,400,11
3160,237,355,88,53,71,900,90,15,1000,18,3500,400,11
2587,194,291,72,44,58,900,90,15,1000,18,3500,400,11
2189,164,192,85,29,38,900,90,15,1000,18,3500,400,11
2748,206,309,76,46,62,900,90,15,1000,18,3500,400,11
2609,196,294,72,44,59,900,90,15,1200,27,3500,400,11
2775,208,312,77,47,62,900,90,15,1000,18,3500,400,11
2358,177,265,66,40,53,900,90,15,1000,18,3500,400,11
3275,246,368,91,55,74,900,90,15,1200,27,3500,400,11
2749,206,309,76,46,62,900,90,15,1000,18,3500,400,11
2667,200,300,74,45,60,900,90,15,1000,18,3500,400,11
2988,224,336,83,50,67,900,90,15,1200,27,3500,400,11
3241,243,365,90,55,73,900,90,15,1000,18,3500,400,11
2491,187,280,69,42,56,900,90,15,1200,27,3500,400,11
2564,192,288,71,43,58,900,90,15,1000,18,3500,400,11
2767,208,311,77,47,62,900,90,15,1200,27,3500,400,11
2248,169,253,62,38,51,900,90,15,1200,27,3500,400,11
2955,222,332,82,50,66,900,90,15,1000,18,3500,400,11
1913,144,167,74,25,33,900,90,15,1000,18,3500,400,11
2666,200,233,104,35,47,900,90,15,1200,27,3500,400,11
2441,183,275,68,41,55,900,90,15,1200,27,3500,400,11
2912,218,328,81,49,66,900,90,15,1000,18,3500,400,11
1721,129,194,48,29,39,900,90,15,1200,27,3500,400,11
2296,172,201,89,30,40,900,90,15,1200,27,3500,400,11
3119,234,351,87,53,70,900,90,15,1200,27,3500,400,11
1553,116,175,43,26,35,900,90,15,1200,27,3500,400,11
1952,146,220,54,33,44,900,90,15,1000,18,3500,400,11
3287,247,370,91,56,74,900,90,15,1000,18,3500,400,11
3803,285,428,106,64,86,900,90,15,1200,27,3500,400,11
2047,154,230,57,34,46,900,90,15,1200,27,3500,400,11
2594,195,292,72,44,58,900,90,15,1000,18,3500,400,11
2248,169,253,62,38,51,900,90,15,1200,27,3500,400,11
1866,140,210,52,32,42,900,90,15,1000,18,3500,400,11
3758,282,329,146,49,66,900,90,15,1000,18,3500,400,11
2129,160,239,59,36,48,900,90,15,1200,27,3500,400,11
3832,287,431,106,65,86,900,90,15,1200,27,3500,400,11
2548,191,287,71,43,57,900,90,15,1000,18,3500,400,11
3558,267,400,99,60,80,900,90,15,1200,27,3500,400,11
3197,240,360,89,54,72,900,90,15,1200,27,3500,400,11
2220,167,250,62,38,50,900,90,15,1000,18,3500,400,11
3510,263,395,98,59,79,900,90,15,1200,27,3500,400,11
3191,239,359,89,54,72,900,90,15,1200,27,3500,400,11
1693,127,190,47,28,38,900,90,15,1000,18,3500,400,11
1880,141,212,52,32,42,900,90,15,1200,27,3500,400,11
2025,152,228,56,34,46,900,90,15,1200,27,3500,400,11
2887,216,325,80,49,65,900,90,15,1200,27,3500,400,11
2685,201,302,75,45,60,900,90,15,1200,27,3500,400,11
2942,221,331,82,50,66,900,90,15,1200,27,3500,400,11
2769,208,311,77,47,62,900,90,15,1200,27,3500,400,11
2813,211,316,78,47,63,900,90,15,1000,18,3500,400,11
2120,159,238,59,36,48,900,90,15,1200,27,3500,400,11
1951,146,220,54,33,44,900,90,15,1000,18,3500,400,11
2854,214,321,79,48,64,900,90,15,1200,40.5,3500,400,11
2099,157,236,58,35,47,900,90,15,1200,27,3500,400,11
3026,227,340,84,51,68,900,90,15,1200,27,3500,400,11
2963,222,333,82,50,67,900,90,15,1000,18,3500,400,11
2898,217,326,80,49,65,900,90,15,1000,18,3500,400,11
2407,181,271,67,41,54,900,90,15,1200,27,3500,400,11
2693,202,303,75,45,61,900,90,15,1200,27,3500,400,11
3133,235,352,87,53,70,900,90,15,1000,18,3500,400,11
2625,197,295,73,44,59,900,90,15,1000,18,3500,400,11
4121,309,361,160,54,72,900,90,15,1200,27,3500,400,11
2801,210,315,78,47,63,900,90,15,1200,27,3500,400,11
3165,237,356,88,53,71,900,90,15,1000,18,3500,400,11
2842,213,320,79,48,64,900,90,15,1200,27,3500,400,11
1668,125,188,46,28,38,900,90,15,1200,27,3500,400,11
1985,149,223,55,33,45,900,90,15,1000,18,3500,400,11
2356,177,265,65,40,53,900,90,15,1200,27,3500,400,11
3141,236,353,87,53,71,900,90,15,1000,18,3500,400,11
2607,196,293,72,44,59,900,90,15,1200,40.5,3500,400,11
3213,241,361,89,54,72,900,90,15,1000,18,3500,400,11
1604,120,180,45,27,36,900,90,15,1200,27,3500,400,11
2905,218,254,113,38,51,900,90,15,1000,18,3500,400,11
3177,238,357,88,54,71,900,90,15,1000,18,3500,400,11
3589,269,404,100,61,81,900,90,15,1000,18,3500,400,11
1020,77,89,40,13,18,900,90,15,1000,18,3500,400,11
2852,214,321,79,48,64,900,90,15,1200,40.5,3500,400,11
2063,155,232,57,35,46,900,90,15,1200,27,3500,400,11
3336,250,292,130,44,58,900,90,15,1000,18,3500,400,11
3147,236,354,87,53,71,900,90,15,1200,27,3500,400,11
4327,325,487,120,73,97,900,90,15,1000,18,3500,400,11
2778,208,313,77,47,63,900,90,15,1200,27,3500,400,11
3056,229,344,85,52,69,900,90,15,1000,18,3500,400,11
3380,254,380,94,57,76,900,90,15,1200,40.5,3500,400,11
1656,124,186,46,28,37,900,90,15,1000,18,3500,400,11
2707,203,305,75,46,61,900,90,15,1000,18,3500,400,11
1325,99,149,37,22,30,900,90,15,1000,18,3500,400,11
3842,288,432,107,65,86,900,90,15,1000,18,3500,400,11
2625,197,295,73,44,59,900,90,15,1000,18,3500,400,11
2710,203,305,75,46,61,900,90,15,1000,18,3500,400,11
1867,140,210,52,32,42,900,90,15,1200,27,3500,400,11
2314,174,260,64,39,52,900,90,15,1200,27,3500,400,11
3800,285,427,106,64,85,900,90,15,1200,27,3500,400,11
3490,262,393,97,59,79,900,90,15,1000,18,3500,400,11
2309,173,260,64,39,52,900,90,15,1000,18,3500,400,11
2710,203,305,75,46,61,900,90,15,1000,18,3500,400,11
3506,263,307,136,46,61,900,90,15,1000,18,3500,400,11
2046,153,230,57,34,46,900,90,15,1000,18,3500,400,11
3199,240,360,89,54,72,900,90,15,1000,18,3500,400,11
3416,256,384,95,58,77,900,90,15,1000,18,3500,400,11
3246,243,365,90,55,73,900,90,15,1200,27,3500,400,11
2013,151,226,56,34,45,900,90,15,1200,27,3500,400,11
2536,190,285,70,43,57,900,90,15,1000,18,3500,400,11
3055,229,344,85,52,69,900,90,15,1200,27,3500,400,11
1825,137,205,51,31,41,900,90,15,1200,27,3500,400,11
2508,188,282,70,42,56,900,90,15,1000,18,3500,400,11
1925,144,217,53,33,43,900,90,15,1000,18,3500,400,11
1982,149,223,55,33,45,900,90,15,1000,18,3500,400,11
